Match Name,Student A,Student B,Matched Categories,Category Scores - Student A,Category Scores - Student B,Category Score Difference,Aggregate Matching Score,Match Summary (AI),Match Type (AI),Best Match (AI),Student A - University,Student B - University,Student A - University : Weight,Student B - University : Weight,Student A - Meet-up Mode,Student B - Meet-up Mode,Student A - Meet-up Mode : Weight,Student B - Meet-up Mode : Weight,Student A - Degree,Student B - Degree,Student A - Degree : Weight,Student B - Degree : Weight,Student A - Learning Habits,Student B - Learning Habits,Student A - Learning Habits : Weight,Student B - Learning Habits : Weight,Student A - Struggling Concepts,Student B - Struggling Concepts,Student A - Struggling Concepts : Weight,Student B - Struggling Concepts : Weight,Student A - Career Goals,Student B - Career Goals,Student A - Career Trajectories : Weight,Student B - Career Trajectories : Weight,Student A - Meet-up Distance,Student B - Meet-up Distance : Score,Student A - Meet-up Distance : Weight,Student B - Meet-up Distance : Weight,University Match,Meet-up Mode Match,Degree Match,Learning Habits Match,Struggling Concepts Match,Career Goals Match,Meet-up Distance Match,University - Both Care,Meet-up Mode - Both Care,Degree - Both Care,Learning Habits - Both Care,Struggling Concepts - Both Care,Career Goals - Both Care,Meet-up Distance - Both Care,University - Adjusted Score,Meet-up Mode - Adjusted Score,Degree - Adjusted Score,Learning Habits - Adjusted Score,Struggling Concepts - Adjusted Score,Career Goals - Adjusted Score,Meet-up Distance - Adjusted Score,Aggregate Adjusted Score,Select for Group,Groups
Isabella Rossi ↔ Priya Patel,Isabella Rossi,Priya Patel,"University,Degree,Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Distance,Meet-up Mode","{
  ""University : Score"": 70,
  ""Degree : Score"": 100,
  ""Learning Habits : Score"": 70,
  ""Struggling Concepts : Score"": 100,
  ""Career Trajectories : Score"": 70,
  ""Meet-up Distance : Score"": 70,
  ""Meet-up Mode : Score"": 70
}","{
  ""University : Score"": 70,
  ""Degree : Score"": 100,
  ""Learning Habits : Score"": 70,
  ""Struggling Concepts : Score"": 100,
  ""Career Trajectories : Score"": 70,
  ""Meet-up Distance : Score"": 70,
  ""Meet-up Mode : Score"": 70
}","{
  ""University : Score"": 0,
  ""Degree : Score"": 0,
  ""Learning Habits : Score"": 0,
  ""Struggling Concepts : Score"": 0,
  ""Career Trajectories : Score"": 0,
  ""Meet-up Distance : Score"": 0,
  ""Meet-up Mode : Score"": 0
}",95,"Isabella Rossi and Priya Patel were matched due to their exceptional alignment across all categories, including identical scores in university, degree, learning habits, and career trajectories. Their shared strengths in both academic focus and study approaches, as well as their preferences for meet-up logistics, indicate a strong foundation for collaboration and mutual support.",,,Cornell University,Carnegie Mellon University,1,1,In Person,In Person,1,1,Biology,Biology,3,3,"Lab work, field research","Lab work, field research",1,1,Ecosystem dynamics,Ecosystem dynamics,3,3,Ecologist,Ecologist,1,1,70,70,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,2,6,2,6,2,2,16,,
Isabella Rossi ↔ Leila Haddad,Isabella Rossi,Leila Haddad,"University,Degree,Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Distance,Meet-up Mode","{
  ""University : Score"": 70,
  ""Degree : Score"": 100,
  ""Learning Habits : Score"": 70,
  ""Struggling Concepts : Score"": 100,
  ""Career Trajectories : Score"": 70,
  ""Meet-up Distance : Score"": 70,
  ""Meet-up Mode : Score"": 70
}","{
  ""University : Score"": 70,
  ""Degree : Score"": 100,
  ""Learning Habits : Score"": 70,
  ""Struggling Concepts : Score"": 100,
  ""Career Trajectories : Score"": 70,
  ""Meet-up Distance : Score"": 70,
  ""Meet-up Mode : Score"": 70
}","{
  ""University : Score"": 0,
  ""Degree : Score"": 0,
  ""Learning Habits : Score"": 0,
  ""Struggling Concepts : Score"": 0,
  ""Career Trajectories : Score"": 0,
  ""Meet-up Distance : Score"": 0,
  ""Meet-up Mode : Score"": 0
}",95,,,,Cornell University,Florida International University,1,1,In Person,In Person,1,1,Biology,Biology,3,3,"Lab work, field research","Lab work, field research",1,1,Ecosystem dynamics,Ecosystem dynamics,3,3,Ecologist,Ecologist,1,1,70,70,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,2,6,2,6,2,2,16,,
Ivan Petrov ↔ Ravi Kumar,Ivan Petrov,Ravi Kumar,"University,Degree,Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Distance,Meet-up Mode","{
  ""University : Score"": 70,
  ""Degree : Score"": 100,
  ""Learning Habits : Score"": 70,
  ""Struggling Concepts : Score"": 100,
  ""Career Trajectories : Score"": 70,
  ""Meet-up Distance : Score"": 70,
  ""Meet-up Mode : Score"": 70
}","{
  ""University : Score"": 70,
  ""Degree : Score"": 100,
  ""Learning Habits : Score"": 70,
  ""Struggling Concepts : Score"": 100,
  ""Career Trajectories : Score"": 70,
  ""Meet-up Distance : Score"": 70,
  ""Meet-up Mode : Score"": 70
}","{
  ""University : Score"": 0,
  ""Degree : Score"": 0,
  ""Learning Habits : Score"": 0,
  ""Struggling Concepts : Score"": 0,
  ""Career Trajectories : Score"": 0,
  ""Meet-up Distance : Score"": 0,
  ""Meet-up Mode : Score"": 0
}",95,,,,Carnegie Mellon University,"University of California, San Diego",1,1,In Person,In Person,1,1,Biology,Biology,3,3,"Lab work, field research","Lab work, field research",1,1,Ecosystem dynamics,Ecosystem dynamics,3,3,Ecologist,Ecologist,1,1,70,70,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,2,6,2,6,2,2,16,checked,
Ivan Petrov ↔ Kwame Boateng,Ivan Petrov,Kwame Boateng,"University,Degree,Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Distance,Meet-up Mode","{
  ""University : Score"": 70,
  ""Degree : Score"": 100,
  ""Learning Habits : Score"": 70,
  ""Struggling Concepts : Score"": 100,
  ""Career Trajectories : Score"": 70,
  ""Meet-up Distance : Score"": 70,
  ""Meet-up Mode : Score"": 70
}","{
  ""University : Score"": 70,
  ""Degree : Score"": 100,
  ""Learning Habits : Score"": 70,
  ""Struggling Concepts : Score"": 100,
  ""Career Trajectories : Score"": 70,
  ""Meet-up Distance : Score"": 70,
  ""Meet-up Mode : Score"": 70
}","{
  ""University : Score"": 0,
  ""Degree : Score"": 0,
  ""Learning Habits : Score"": 0,
  ""Struggling Concepts : Score"": 0,
  ""Career Trajectories : Score"": 0,
  ""Meet-up Distance : Score"": 0,
  ""Meet-up Mode : Score"": 0
}",95,,,,Carnegie Mellon University,Florida International University,1,1,In Person,In Person,1,1,Biology,Biology,3,3,"Lab work, field research","Lab work, field research",1,1,Ecosystem dynamics,Ecosystem dynamics,3,3,Ecologist,Ecologist,1,1,70,70,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,2,6,2,6,2,2,16,checked,
Ivan Petrov ↔ Sara Ahmed,Ivan Petrov,Sara Ahmed,"University,Degree,Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Distance,Meet-up Mode","{
  ""University : Score"": 70,
  ""Degree : Score"": 100,
  ""Learning Habits : Score"": 70,
  ""Struggling Concepts : Score"": 100,
  ""Career Trajectories : Score"": 70,
  ""Meet-up Distance : Score"": 70,
  ""Meet-up Mode : Score"": 70
}","{
  ""University : Score"": 70,
  ""Degree : Score"": 100,
  ""Learning Habits : Score"": 70,
  ""Struggling Concepts : Score"": 100,
  ""Career Trajectories : Score"": 70,
  ""Meet-up Distance : Score"": 70,
  ""Meet-up Mode : Score"": 70
}","{
  ""University : Score"": 0,
  ""Degree : Score"": 0,
  ""Learning Habits : Score"": 0,
  ""Struggling Concepts : Score"": 0,
  ""Career Trajectories : Score"": 0,
  ""Meet-up Distance : Score"": 0,
  ""Meet-up Mode : Score"": 0
}",95,,,,Carnegie Mellon University,Purdue University,1,1,In Person,In Person,1,1,Biology,Biology,3,3,"Lab work, field research","Lab work, field research",1,1,Ecosystem dynamics,Ecosystem dynamics,3,3,Ecologist,Ecologist,1,1,70,70,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,2,6,2,6,2,2,16,,
Ivan Petrov ↔ Oluwaseun Adeyemi,Ivan Petrov,Oluwaseun Adeyemi,"University,Degree,Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Distance,Meet-up Mode","{
  ""University : Score"": 70,
  ""Degree : Score"": 100,
  ""Learning Habits : Score"": 70,
  ""Struggling Concepts : Score"": 100,
  ""Career Trajectories : Score"": 70,
  ""Meet-up Distance : Score"": 70,
  ""Meet-up Mode : Score"": 70
}","{
  ""University : Score"": 70,
  ""Degree : Score"": 100,
  ""Learning Habits : Score"": 70,
  ""Struggling Concepts : Score"": 100,
  ""Career Trajectories : Score"": 70,
  ""Meet-up Distance : Score"": 70,
  ""Meet-up Mode : Score"": 70
}","{
  ""University : Score"": 0,
  ""Degree : Score"": 0,
  ""Learning Habits : Score"": 0,
  ""Struggling Concepts : Score"": 0,
  ""Career Trajectories : Score"": 0,
  ""Meet-up Distance : Score"": 0,
  ""Meet-up Mode : Score"": 0
}",95,,,,Carnegie Mellon University,University of Michigan – Ann Arbor,1,1,In Person,In Person,1,1,Biology,Biology,3,3,"Lab work, field research","Lab work, field research",1,1,Ecosystem dynamics,Ecosystem dynamics,3,3,Ecologist,Ecologist,1,1,70,70,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,2,6,2,6,2,2,16,,
Ivan Petrov ↔ Thiago Pereira,Ivan Petrov,Thiago Pereira,"University,Degree,Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Distance,Meet-up Mode","{
  ""University : Score"": 70,
  ""Degree : Score"": 100,
  ""Learning Habits : Score"": 70,
  ""Struggling Concepts : Score"": 100,
  ""Career Trajectories : Score"": 70,
  ""Meet-up Distance : Score"": 70,
  ""Meet-up Mode : Score"": 70
}","{
  ""University : Score"": 70,
  ""Degree : Score"": 100,
  ""Learning Habits : Score"": 70,
  ""Struggling Concepts : Score"": 100,
  ""Career Trajectories : Score"": 70,
  ""Meet-up Distance : Score"": 70,
  ""Meet-up Mode : Score"": 70
}","{
  ""University : Score"": 0,
  ""Degree : Score"": 0,
  ""Learning Habits : Score"": 0,
  ""Struggling Concepts : Score"": 0,
  ""Career Trajectories : Score"": 0,
  ""Meet-up Distance : Score"": 0,
  ""Meet-up Mode : Score"": 0
}",95,,,,Carnegie Mellon University,California Institute of Technology (Caltech),1,1,In Person,In Person,1,1,Biology,Biology,3,3,"Lab work, field research","Lab work, field research",1,1,Ecosystem dynamics,Ecosystem dynamics,3,3,Ecologist,Ecologist,1,1,70,70,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,2,6,2,6,2,2,16,,
Ivan Petrov ↔ Maya Cohen,Ivan Petrov,Maya Cohen,"University,Degree,Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Distance,Meet-up Mode","{
  ""University : Score"": 70,
  ""Degree : Score"": 100,
  ""Learning Habits : Score"": 70,
  ""Struggling Concepts : Score"": 100,
  ""Career Trajectories : Score"": 70,
  ""Meet-up Distance : Score"": 70,
  ""Meet-up Mode : Score"": 70
}","{
  ""University : Score"": 70,
  ""Degree : Score"": 100,
  ""Learning Habits : Score"": 70,
  ""Struggling Concepts : Score"": 100,
  ""Career Trajectories : Score"": 70,
  ""Meet-up Distance : Score"": 70,
  ""Meet-up Mode : Score"": 70
}","{
  ""University : Score"": 0,
  ""Degree : Score"": 0,
  ""Learning Habits : Score"": 0,
  ""Struggling Concepts : Score"": 0,
  ""Career Trajectories : Score"": 0,
  ""Meet-up Distance : Score"": 0,
  ""Meet-up Mode : Score"": 0
}",95,,,,Carnegie Mellon University,Purdue University,1,1,In Person,In Person,1,1,Biology,Biology,3,3,"Lab work, field research","Lab work, field research",1,1,Ecosystem dynamics,Ecosystem dynamics,3,3,Ecologist,Ecologist,1,1,70,70,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,2,6,2,6,2,2,16,,
Ivan Petrov ↔ Laila Rahman,Ivan Petrov,Laila Rahman,"University,Degree,Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Distance,Meet-up Mode","{
  ""University : Score"": 70,
  ""Degree : Score"": 100,
  ""Learning Habits : Score"": 70,
  ""Struggling Concepts : Score"": 100,
  ""Career Trajectories : Score"": 70,
  ""Meet-up Distance : Score"": 70,
  ""Meet-up Mode : Score"": 70
}","{
  ""University : Score"": 70,
  ""Degree : Score"": 100,
  ""Learning Habits : Score"": 70,
  ""Struggling Concepts : Score"": 100,
  ""Career Trajectories : Score"": 70,
  ""Meet-up Distance : Score"": 70,
  ""Meet-up Mode : Score"": 70
}","{
  ""University : Score"": 0,
  ""Degree : Score"": 0,
  ""Learning Habits : Score"": 0,
  ""Struggling Concepts : Score"": 0,
  ""Career Trajectories : Score"": 0,
  ""Meet-up Distance : Score"": 0,
  ""Meet-up Mode : Score"": 0
}",95,,,,Carnegie Mellon University,Carnegie Mellon University,1,1,In Person,In Person,1,1,Biology,Biology,3,3,"Lab work, field research","Lab work, field research",1,1,Ecosystem dynamics,Ecosystem dynamics,3,3,Ecologist,Ecologist,1,1,70,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,6,2,6,2,2,20,,
Ivan Petrov ↔ Svetlana Ivanova,Ivan Petrov,Svetlana Ivanova,"University,Degree,Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Distance,Meet-up Mode","{
  ""University : Score"": 70,
  ""Degree : Score"": 100,
  ""Learning Habits : Score"": 70,
  ""Struggling Concepts : Score"": 100,
  ""Career Trajectories : Score"": 70,
  ""Meet-up Distance : Score"": 70,
  ""Meet-up Mode : Score"": 70
}","{
  ""University : Score"": 70,
  ""Degree : Score"": 100,
  ""Learning Habits : Score"": 70,
  ""Struggling Concepts : Score"": 100,
  ""Career Trajectories : Score"": 70,
  ""Meet-up Distance : Score"": 70,
  ""Meet-up Mode : Score"": 70
}","{
  ""University : Score"": 0,
  ""Degree : Score"": 0,
  ""Learning Habits : Score"": 0,
  ""Struggling Concepts : Score"": 0,
  ""Career Trajectories : Score"": 0,
  ""Meet-up Distance : Score"": 0,
  ""Meet-up Mode : Score"": 0
}",95,,,,Carnegie Mellon University,Carnegie Mellon University,1,1,In Person,In Person,1,1,Biology,Biology,3,3,"Lab work, field research","Lab work, field research",1,1,Ecosystem dynamics,Ecosystem dynamics,3,3,Ecologist,Ecologist,1,1,70,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,6,2,6,2,2,20,,
