Match Name,Student,Group,Aggregate Matching Score,Category Scores - Student,Category Scores - Group,Category Score Difference,Match Summary (AI),Student - University,Group - Universities,Student - Degree,Group - Degrees,Student - Learning Habits,Group - Learning Habits,Student - Struggling Concepts,Group - Struggling Concepts,Student - Career Goals,Group - Career Trajectories,Student - Meet-up Distance,Group - Meet-up Distance,Student - Meet-up Mode,Group - Meet-up Mode,Aggregate Adjusted Score,Notes,Last Evaluated,Evaluator,Rank,Join Group
Aaliyah Mohammed ↔ Ahmed El-Sayed ↔ Samuel Mensah,Aaliyah Mohammed,Ahmed El-Sayed ↔ Samuel Mensah,100,"{
  ""University"": 90,
  ""Degree"": 100,
  ""Learning Habits"": 100,
  ""Struggling Concepts"": 90,
  ""Career Goals"": 90,
  ""Meet-up Distance"": 70
}","{
  ""University"": 90,
  ""Degree"": 100,
  ""Learning Habits"": 100,
  ""Struggling Concepts"": 90,
  ""Career Goals"": 90,
  ""Meet-up Distance"": 70
}","{
  ""University"": 0,
  ""Degree"": 0,
  ""Learning Habits"": 0,
  ""Struggling Concepts"": 0,
  ""Career Goals"": 0,
  ""Meet-up Distance"": 0
}","The student and group are perfectly matched across all assessed areas, with identical scores and no differences in any category. The maximum aggregate score reflects complete compatibility and alignment in academic background, habits, goals, and logistical considerations.",Carnegie Mellon University,"University of Texas at Austin, Carnegie Mellon University",Engineering,"Engineering, Engineering","Hands-on projects, group work","Hands-on projects, group work, Hands-on projects, group work",Thermodynamics,"Thermodynamics, Thermodynamics",Mechanical engineer,"Mechanical engineer, Mechanical engineer",10 miles,"10 miles, 9 miles",In Person,"In Person, In Person",,,,,1,
Aaliyah Mohammed ↔ Dariusz Kowalski ↔ Samuel Mensah,Aaliyah Mohammed,Dariusz Kowalski ↔ Samuel Mensah,100,"{
  ""University"": 90,
  ""Degree"": 100,
  ""Learning Habits"": 100,
  ""Struggling Concepts"": 90,
  ""Career Goals"": 90,
  ""Meet-up Distance"": 70
}","{
  ""University"": 90,
  ""Degree"": 100,
  ""Learning Habits"": 100,
  ""Struggling Concepts"": 90,
  ""Career Goals"": 90,
  ""Meet-up Distance"": 70
}","{
  ""University"": 0,
  ""Degree"": 0,
  ""Learning Habits"": 0,
  ""Struggling Concepts"": 0,
  ""Career Goals"": 0,
  ""Meet-up Distance"": 0
}","The student and group are perfectly matched across all assessed areas, with identical scores and no differences in any category. The maximum aggregate score reflects complete compatibility and alignment in academic and logistical preferences.",Carnegie Mellon University,"Georgia Institute of Technology, Carnegie Mellon University",Engineering,"Engineering, Engineering","Hands-on projects, group work","Hands-on projects, group work, Hands-on projects, group work",Thermodynamics,"Thermodynamics, Thermodynamics",Mechanical engineer,"Mechanical engineer, Mechanical engineer",10 miles,"10 miles, 9 miles",In Person,"In Person, In Person",,,,,2,
Aaliyah Mohammed ↔ Emily Brown ↔ Samuel Mensah,Aaliyah Mohammed,Emily Brown ↔ Samuel Mensah,100,"{
  ""University"": 90,
  ""Degree"": 100,
  ""Learning Habits"": 100,
  ""Struggling Concepts"": 90,
  ""Career Goals"": 90,
  ""Meet-up Distance"": 70
}","{
  ""University"": 90,
  ""Degree"": 100,
  ""Learning Habits"": 100,
  ""Struggling Concepts"": 90,
  ""Career Goals"": 90,
  ""Meet-up Distance"": 70
}","{
  ""University"": 0,
  ""Degree"": 0,
  ""Learning Habits"": 0,
  ""Struggling Concepts"": 0,
  ""Career Goals"": 0,
  ""Meet-up Distance"": 0
}","The student and group are perfectly matched across all assessed areas, with identical scores and no differences in any category. The maximum aggregate score reflects complete alignment, indicating optimal compatibility.",Carnegie Mellon University,"Florida International University, Carnegie Mellon University",Engineering,"Engineering, Engineering","Hands-on projects, group work","Hands-on projects, group work, Hands-on projects, group work",Thermodynamics,"Thermodynamics, Thermodynamics",Mechanical engineer,"Mechanical engineer, Mechanical engineer",10 miles,"10 miles, 9 miles",In Person,"In Person, In Person",,,,,3,
Ahmed El-Sayed ↔ Dariusz Kowalski ↔ Kevin Nguyen,Ahmed El-Sayed,Dariusz Kowalski ↔ Kevin Nguyen,85,"{
  ""University"": 90,
  ""Degree"": 100,
  ""Learning Habits"": 100,
  ""Struggling Concepts"": 90,
  ""Career Goals"": 90,
  ""Meet-up Distance"": 70
}","{
  ""University"": 90,
  ""Degree"": 100,
  ""Learning Habits"": 100,
  ""Struggling Concepts"": 90,
  ""Career Goals"": 90,
  ""Meet-up Distance"": 70
}","{
  ""University"": 0,
  ""Degree"": 0,
  ""Learning Habits"": 0,
  ""Struggling Concepts"": 0,
  ""Career Goals"": 0,
  ""Meet-up Distance"": 0
}","The student and group have identical scores across all categories, indicating complete alignment in academic background, learning preferences, and logistical considerations. The perfect match in each area and a high aggregate score suggest strong overall compatibility.",University of Texas at Austin,"Georgia Institute of Technology, Georgia Institute of Technology",Engineering,"Engineering, Engineering","Hands-on projects, group work","Hands-on projects, group work, Hands-on projects, group work",Thermodynamics,"Thermodynamics, Thermodynamics",Mechanical engineer,"Mechanical engineer, Mechanical engineer",10 miles,"10 miles, 10 miles",In Person,"In Person, In Person",,University mismatch (-15),,,1,
Ahmed El-Sayed ↔ Dariusz Kowalski ↔ Wei Zhang,Ahmed El-Sayed,Dariusz Kowalski ↔ Wei Zhang,85,"{
  ""University"": 90,
  ""Degree"": 100,
  ""Learning Habits"": 100,
  ""Struggling Concepts"": 90,
  ""Career Goals"": 90,
  ""Meet-up Distance"": 70
}","{
  ""University"": 90,
  ""Degree"": 100,
  ""Learning Habits"": 100,
  ""Struggling Concepts"": 90,
  ""Career Goals"": 90,
  ""Meet-up Distance"": 70
}","{
  ""University"": 0,
  ""Degree"": 0,
  ""Learning Habits"": 0,
  ""Struggling Concepts"": 0,
  ""Career Goals"": 0,
  ""Meet-up Distance"": 0
}","The student and group are perfectly aligned across all assessed areas, with identical scores in university, degree, learning habits, struggling concepts, career goals, and meet-up distance. This complete overlap, reflected in a high aggregate score, indicates optimal compatibility for matching.",University of Texas at Austin,"Georgia Institute of Technology, Georgia Institute of Technology",Engineering,"Engineering, Engineering","Hands-on projects, group work","Hands-on projects, group work, Hands-on projects, group work",Thermodynamics,"Thermodynamics, Thermodynamics",Mechanical engineer,"Mechanical engineer, Mechanical engineer",10 miles,"10 miles, 10 miles",In Person,"In Person, In Person",,University mismatch (-15),,,2,
Ahmed El-Sayed ↔ Fatima Al-Farsi ↔ Ivan Horvat,Ahmed El-Sayed,Fatima Al-Farsi ↔ Ivan Horvat,85,"{
  ""University"": 90,
  ""Degree"": 100,
  ""Learning Habits"": 100,
  ""Struggling Concepts"": 90,
  ""Career Goals"": 90,
  ""Meet-up Distance"": 70
}","{
  ""University"": 90,
  ""Degree"": 100,
  ""Learning Habits"": 100,
  ""Struggling Concepts"": 90,
  ""Career Goals"": 90,
  ""Meet-up Distance"": 70
}","{
  ""University"": 0,
  ""Degree"": 0,
  ""Learning Habits"": 0,
  ""Struggling Concepts"": 0,
  ""Career Goals"": 0,
  ""Meet-up Distance"": 0
}","The student and group are perfectly aligned across all assessed areas, with identical scores and no differences in any category. This complete overlap, reflected in the high aggregate score, indicates an exceptionally strong match.",University of Texas at Austin,"California Institute of Technology (Caltech), California Institute of Technology (Caltech)",Engineering,"Engineering, Engineering","Hands-on projects, group work","Hands-on projects, group work, Hands-on projects, group work",Thermodynamics,"Thermodynamics, Thermodynamics",Mechanical engineer,"Mechanical engineer, Mechanical engineer",10 miles,"10 miles, 10 miles",In Person,"In Person, In Person",,University mismatch (-15),,,3,
Ahmed Hassan ↔ Mateo Silva ↔ Tomasz Nowak,Ahmed Hassan,Mateo Silva ↔ Tomasz Nowak,100,"{
  ""University"": 90,
  ""Degree"": 100,
  ""Learning Habits"": 100,
  ""Struggling Concepts"": 90,
  ""Career Goals"": 90,
  ""Meet-up Distance"": 70
}","{
  ""University"": 90,
  ""Degree"": 100,
  ""Learning Habits"": 100,
  ""Struggling Concepts"": 90,
  ""Career Goals"": 90,
  ""Meet-up Distance"": 70
}","{
  ""University"": 0,
  ""Degree"": 0,
  ""Learning Habits"": 0,
  ""Struggling Concepts"": 0,
  ""Career Goals"": 0,
  ""Meet-up Distance"": 0
}","The student and group are perfectly matched across all assessed areas, with identical scores and no differences in any category. The maximum aggregate score reflects complete compatibility, indicating a highly suitable pairing.",Purdue University,"Cornell University, Purdue University",Engineering,"Engineering, Engineering","Hands-on projects, group work","Hands-on projects, group work, Hands-on projects, group work",Thermodynamics,"Thermodynamics, Thermodynamics",Mechanical engineer,"Mechanical engineer, Mechanical engineer",9 miles,"9 miles, 10 miles",In Person,"In Person, In Person",,,,,1,
Ahmed Hassan ↔ Helena Costa ↔ Samantha Evans,Ahmed Hassan,Helena Costa ↔ Samantha Evans,100,"{
  ""University"": 90,
  ""Degree"": 100,
  ""Learning Habits"": 100,
  ""Struggling Concepts"": 90,
  ""Career Goals"": 90,
  ""Meet-up Distance"": 70
}","{
  ""University"": 90,
  ""Degree"": 100,
  ""Learning Habits"": 100,
  ""Struggling Concepts"": 90,
  ""Career Goals"": 90,
  ""Meet-up Distance"": 70
}","{
  ""University"": 0,
  ""Degree"": 0,
  ""Learning Habits"": 0,
  ""Struggling Concepts"": 0,
  ""Career Goals"": 0,
  ""Meet-up Distance"": 0
}","The student and group are perfectly matched across all assessed areas, with identical scores and no differences in any category. The aggregate score of 100 reflects complete compatibility.",Purdue University,"Florida International University, Purdue University",Engineering,"Engineering, Engineering","Hands-on projects, group work","Hands-on projects, group work, Hands-on projects, group work",Thermodynamics,"Thermodynamics, Thermodynamics",Mechanical engineer,"Mechanical engineer, Mechanical engineer",9 miles,"9 miles, 10 miles",In Person,"In Person, In Person",,,,,2,
Ahmed Hassan ↔ Emily Brown ↔ Samantha Evans,Ahmed Hassan,Emily Brown ↔ Samantha Evans,95,"{
  ""University"": 90,
  ""Degree"": 100,
  ""Learning Habits"": 100,
  ""Struggling Concepts"": 90,
  ""Career Goals"": 90,
  ""Meet-up Distance"": 70
}","{
  ""University"": 90,
  ""Degree"": 100,
  ""Learning Habits"": 100,
  ""Struggling Concepts"": 90,
  ""Career Goals"": 90,
  ""Meet-up Distance"": 70
}","{
  ""University"": 0,
  ""Degree"": 0,
  ""Learning Habits"": 0,
  ""Struggling Concepts"": 0,
  ""Career Goals"": 0,
  ""Meet-up Distance"": 0
}","The student and group are perfectly aligned across all assessed areas, with identical scores and no differences in any category. The high aggregate score reflects this complete compatibility, indicating an excellent match.",Purdue University,"Florida International University, Purdue University",Engineering,"Engineering, Engineering","Hands-on projects, group work","Hands-on projects, group work, Hands-on projects, group work",Thermodynamics,"Thermodynamics, Thermodynamics",Mechanical engineer,"Mechanical engineer, Mechanical engineer",9 miles,"10 miles, 10 miles",In Person,"In Person, In Person",,Meet-up Distance mismatch (-5),,,3,
Aisha Abdi ↔ Laila Rahman ↔ Sophie Dubois,Aisha Abdi,Laila Rahman ↔ Sophie Dubois,100,"{
  ""University"": 70,
  ""Degree"": 100,
  ""Learning Habits"": 70,
  ""Struggling Concepts"": 100,
  ""Career Goals"": 70,
  ""Meet-up Distance"": 70
}","{
  ""University"": 70,
  ""Degree"": 100,
  ""Learning Habits"": 70,
  ""Struggling Concepts"": 100,
  ""Career Goals"": 70,
  ""Meet-up Distance"": 70
}","{
  ""University"": 0,
  ""Degree"": 0,
  ""Learning Habits"": 0,
  ""Struggling Concepts"": 0,
  ""Career Goals"": 0,
  ""Meet-up Distance"": 0
}","The student and group are perfectly matched across all assessed areas, with identical scores and no differences in any category. The maximum aggregate score reflects complete compatibility, indicating a strong foundation for successful collaboration.",Stanford University,"Carnegie Mellon University, Stanford University",Biology,"Biology, Biology","Lab work, field research","Lab work, field research, Lab work, field research",Ecosystem dynamics,"Ecosystem dynamics, Ecosystem dynamics",Ecologist,"Ecologist, Ecologist",10 miles,"9 miles, 10 miles",In Person,"In Person, In Person",,,,,1,
