Name,Email,User Name,Notes,Attachments,Attachment Summary,University,Degree,Learning Habits,Career Goals,Struggling Concepts,Meet-up Distance,Meet-up Mode,Preference Categories,University : Weight,University : Score,University : Percent,Degree : Weight,Degree : Score,Degree : Percent,Learning Habits : Weight,Learning Habits : Score,Learning Habits : Percent,Struggling Concepts : Weight,Struggling Concepts : Score,Struggling Concepts : Percent,Career Trajectories : Weight,Career Trajectories : Score,Career Trajectories : Percent,Meet-up Distance : Weight,Meet-up Distance : Score,Meet-up Distance : Percent,Meet-up Mode : Weight,Meet-up Mode : Score,Meet-up Mode : Percent,Learning Style,Compatibility Score,Score Total,Student Matches (Student A),Student Matches (Student B),Student Matches,Groups (Members),Groups (Best Matched Students (AI)),Groups,Student-Group Matches,Student-Group Matches 2
Aaliyah Mohammed,aaliyah.mohammed@email.com,aaliyah.mohammed,,,,Carnegie Mellon University,Engineering,"Hands-on projects, group work",Mechanical engineer,Thermodynamics,10 miles,In Person,"Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Mode",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,"Aaliyah Mohammed ↔ Ahmed El-Sayed,Aaliyah Mohammed ↔ Ahmed Hassan,Aaliyah Mohammed ↔ Alexei Ivanov,Aaliyah Mohammed ↔ Anna Müller,Aaliyah Mohammed ↔ Ava Williams,Aaliyah Mohammed ↔ Aya Nakamura,Aaliyah Mohammed ↔ Dariusz Kowalski,Aaliyah Mohammed ↔ Diego Torres,Aaliyah Mohammed ↔ Emily Brown,Aaliyah Mohammed ↔ Ethan Johnson,Aaliyah Mohammed ↔ Fatima Al-Farsi,Aaliyah Mohammed ↔ Hana Kimura,Aaliyah Mohammed ↔ Helena Costa,Aaliyah Mohammed ↔ Ivan Horvat,Aaliyah Mohammed ↔ Jacob Green,Aaliyah Mohammed ↔ Kevin Nguyen,Aaliyah Mohammed ↔ Leah Stein,Aaliyah Mohammed ↔ Liam O'Connor,Aaliyah Mohammed ↔ Lina Svensson,Aaliyah Mohammed ↔ Linh Tran,Aaliyah Mohammed ↔ Lucas Meyer,Aaliyah Mohammed ↔ Maria Rodriguez,Aaliyah Mohammed ↔ Mateo Silva,Aaliyah Mohammed ↔ Mateusz Zielinski,Aaliyah Mohammed ↔ Mei Chen,Aaliyah Mohammed ↔ Nadia Benali,Aaliyah Mohammed ↔ Olivia Wilson,Aaliyah Mohammed ↔ Omar Farouk,Aaliyah Mohammed ↔ Pedro Alvarez,Aaliyah Mohammed ↔ Samantha Evans,Aaliyah Mohammed ↔ Santiago Lopez,Aaliyah Mohammed ↔ Sibel Yilmaz,Aaliyah Mohammed ↔ Sofia Garcia,Aaliyah Mohammed ↔ Sofia Petrova,Aaliyah Mohammed ↔ Tariq Aziz,Aaliyah Mohammed ↔ Tomasz Nowak,Aaliyah Mohammed ↔ Victoria Smith,Aaliyah Mohammed ↔ Wei Zhang,Aaliyah Mohammed ↔ Yuki Tanaka",,,,,"Aaliyah Mohammed ↔ Ahmed El-Sayed,Aaliyah Mohammed ↔ Maria Rodriguez,Aaliyah Mohammed ↔ Victoria Smith,Aaliyah Mohammed ↔ Alexei Ivanov,Aaliyah Mohammed ↔ Leah Stein,Aaliyah Mohammed ↔ Olivia Wilson","Aaliyah Mohammed ↔ Ahmed El-Sayed ↔ Samuel Mensah,Aaliyah Mohammed ↔ Dariusz Kowalski ↔ Samuel Mensah,Aaliyah Mohammed ↔ Emily Brown ↔ Samuel Mensah",
Ahmed El-Sayed,ahmed.elsayed@email.com,ahmed.elsayed,,,,University of Texas at Austin,Engineering,"Hands-on projects, group work",Mechanical engineer,Thermodynamics,10 miles,In Person,"Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Mode",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,"Ahmed El-Sayed ↔ Ahmed Hassan,Ahmed El-Sayed ↔ Alexei Ivanov,Ahmed El-Sayed ↔ Anna Müller,Ahmed El-Sayed ↔ Ava Williams,Ahmed El-Sayed ↔ Aya Nakamura,Ahmed El-Sayed ↔ Dariusz Kowalski,Ahmed El-Sayed ↔ Diego Torres,Ahmed El-Sayed ↔ Emily Brown,Ahmed El-Sayed ↔ Ethan Johnson,Ahmed El-Sayed ↔ Fatima Al-Farsi,Ahmed El-Sayed ↔ Hana Kimura,Ahmed El-Sayed ↔ Helena Costa,Ahmed El-Sayed ↔ Ivan Horvat,Ahmed El-Sayed ↔ Jacob Green,Ahmed El-Sayed ↔ Kevin Nguyen,Ahmed El-Sayed ↔ Leah Stein,Ahmed El-Sayed ↔ Liam O'Connor,Ahmed El-Sayed ↔ Lina Svensson,Ahmed El-Sayed ↔ Linh Tran,Ahmed El-Sayed ↔ Lucas Meyer,Ahmed El-Sayed ↔ Lucas Oliveira,Ahmed El-Sayed ↔ Maria Rodriguez,Ahmed El-Sayed ↔ Mateo Silva,Ahmed El-Sayed ↔ Mateusz Zielinski,Ahmed El-Sayed ↔ Mei Chen,Ahmed El-Sayed ↔ Nadia Benali,Ahmed El-Sayed ↔ Olivia Wilson,Ahmed El-Sayed ↔ Omar Farouk,Ahmed El-Sayed ↔ Pedro Alvarez,Ahmed El-Sayed ↔ Samantha Evans,Ahmed El-Sayed ↔ Samuel Mensah,Ahmed El-Sayed ↔ Santiago Lopez,Ahmed El-Sayed ↔ Sibel Yilmaz,Ahmed El-Sayed ↔ Sofia Garcia,Ahmed El-Sayed ↔ Sofia Petrova,Ahmed El-Sayed ↔ Tariq Aziz,Ahmed El-Sayed ↔ Tomasz Nowak,Ahmed El-Sayed ↔ Victoria Smith,Ahmed El-Sayed ↔ Wei Zhang,Ahmed El-Sayed ↔ Yuki Tanaka",Aaliyah Mohammed ↔ Ahmed El-Sayed,,,,"Aaliyah Mohammed ↔ Ahmed El-Sayed,Ahmed El-Sayed ↔ Samuel Mensah,Ahmed El-Sayed ↔ Anna Müller,Ahmed El-Sayed ↔ Kevin Nguyen,Ahmed El-Sayed ↔ Ava Williams,Ahmed El-Sayed ↔ Olivia Wilson,Ahmed El-Sayed ↔ Lina Svensson,Ahmed El-Sayed ↔ Liam O'Connor,Ahmed El-Sayed ↔ Alexei Ivanov,Ahmed El-Sayed ↔ Mei Chen","Ahmed El-Sayed ↔ Dariusz Kowalski ↔ Kevin Nguyen,Ahmed El-Sayed ↔ Dariusz Kowalski ↔ Wei Zhang,Ahmed El-Sayed ↔ Fatima Al-Farsi ↔ Ivan Horvat",
Ahmed Hassan,ahmed.hassan@email.com,ahmed.hassan,,,,Purdue University,Engineering,"Hands-on projects, group work",Mechanical engineer,Thermodynamics,9 miles,In Person,"Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Mode",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,"Ahmed Hassan ↔ Alexei Ivanov,Ahmed Hassan ↔ Anna Müller,Ahmed Hassan ↔ Ava Williams,Ahmed Hassan ↔ Aya Nakamura,Ahmed Hassan ↔ Dariusz Kowalski,Ahmed Hassan ↔ Diego Torres,Ahmed Hassan ↔ Emily Brown,Ahmed Hassan ↔ Ethan Johnson,Ahmed Hassan ↔ Fatima Al-Farsi,Ahmed Hassan ↔ Hana Kimura,Ahmed Hassan ↔ Helena Costa,Ahmed Hassan ↔ Ivan Horvat,Ahmed Hassan ↔ Jacob Green,Ahmed Hassan ↔ Kevin Nguyen,Ahmed Hassan ↔ Leah Stein,Ahmed Hassan ↔ Liam O'Connor,Ahmed Hassan ↔ Lina Svensson,Ahmed Hassan ↔ Linh Tran,Ahmed Hassan ↔ Lucas Meyer,Ahmed Hassan ↔ Maria Rodriguez,Ahmed Hassan ↔ Mateo Silva,Ahmed Hassan ↔ Mateusz Zielinski,Ahmed Hassan ↔ Mei Chen,Ahmed Hassan ↔ Nadia Benali,Ahmed Hassan ↔ Olivia Wilson,Ahmed Hassan ↔ Omar Farouk,Ahmed Hassan ↔ Pedro Alvarez,Ahmed Hassan ↔ Samuel Mensah,Ahmed Hassan ↔ Santiago Lopez,Ahmed Hassan ↔ Sibel Yilmaz,Ahmed Hassan ↔ Sofia Garcia,Ahmed Hassan ↔ Sofia Petrova,Ahmed Hassan ↔ Tariq Aziz,Ahmed Hassan ↔ Victoria Smith,Ahmed Hassan ↔ Wei Zhang,Ahmed Hassan ↔ Yuki Tanaka","Aaliyah Mohammed ↔ Ahmed Hassan,Ahmed El-Sayed ↔ Ahmed Hassan",,,,"Ahmed Hassan ↔ Anna Müller,Ahmed Hassan ↔ Olivia Wilson,Ahmed Hassan ↔ Ivan Horvat,Ahmed Hassan ↔ Aya Nakamura,Ahmed Hassan ↔ Tariq Aziz,Ahmed Hassan ↔ Nadia Benali,Ahmed Hassan ↔ Lina Svensson,Ahmed Hassan ↔ Maria Rodriguez,Ahmed Hassan ↔ Dariusz Kowalski","Ahmed Hassan ↔ Mateo Silva ↔ Tomasz Nowak,Ahmed Hassan ↔ Helena Costa ↔ Samantha Evans,Ahmed Hassan ↔ Emily Brown ↔ Samantha Evans",
Aisha Abdi,aisha.abdi@email.com,aisha.abdi,,,,Stanford University,Biology,"Lab work, field research",Ecologist,Ecosystem dynamics,10 miles,In Person,"University,Learning Habits,Career Trajectories",1,70,15,3,100,21,1,70,15,3,100,21,1,70,15,1,70,15,1,70,15,Kinesthetic,,480,"Aisha Abdi ↔ Ananya Singh,Aisha Abdi ↔ Chinonso Okafor,Aisha Abdi ↔ Elena Popova,Aisha Abdi ↔ Grace Lee,Aisha Abdi ↔ Hiroshi Sato,Aisha Abdi ↔ Laila Rahman,Aisha Abdi ↔ Lucas Evans,Aisha Abdi ↔ Maya Sharma,Aisha Abdi ↔ Mikhail Orlov,Aisha Abdi ↔ Noah Weber,Aisha Abdi ↔ Rashid Khan,Aisha Abdi ↔ Svetlana Ivanova,Aisha Abdi ↔ Viktor Novak,Aisha Abdi ↔ Zara Ali",,,,,"Aisha Abdi ↔ Sophie Dubois,Aisha Abdi ↔ Ava Thompson,Aisha Abdi ↔ Hiroshi Sato,Aisha Abdi ↔ Svetlana Ivanova","Aisha Abdi ↔ Laila Rahman ↔ Sophie Dubois,Aisha Abdi ↔ Aisha Bello ↔ Sana Qureshi,Aisha Abdi ↔ David Kim ↔ Sophie Dubois",
Aisha Bello,aisha.bello@email.com,aisha.bello,,,,University of Illinois Urbana–Champaign,Biology,"Lab work, field research",Ecologist,Ecosystem dynamics,10 miles,In Person,"University,Learning Habits,Career Trajectories",1,70,15,3,100,21,1,70,15,3,100,21,1,70,15,1,70,15,1,70,15,Kinesthetic,,480,"Aisha Bello ↔ Chinonso Okafor,Aisha Bello ↔ Elena Popova,Aisha Bello ↔ Grace Lee,Aisha Bello ↔ Hiroshi Sato,Aisha Bello ↔ Laila Rahman,Aisha Bello ↔ Lucas Evans,Aisha Bello ↔ Maya Sharma,Aisha Bello ↔ Mikhail Orlov,Aisha Bello ↔ Noah Weber,Aisha Bello ↔ Rashid Khan,Aisha Bello ↔ Sana Qureshi,Aisha Bello ↔ Svetlana Ivanova,Aisha Bello ↔ Viktor Novak,Aisha Bello ↔ Zara Ali",,,,,"Aisha Bello ↔ Noah Weber,Aisha Bello ↔ Leila Haddad,Aisha Bello ↔ Sana Qureshi,Aisha Bello ↔ Thiago Pereira,Aisha Bello ↔ Hiroshi Sato,Aisha Bello ↔ Lucas Evans,Aisha Bello ↔ Viktor Novak","Aisha Bello ↔ Carlos Ramirez ↔ Chinonso Okafor,Aisha Bello ↔ Ananya Singh ↔ Ravi Kumar,Aisha Bello ↔ Ananya Singh ↔ Emily Clark",
Aisha Khan,aisha.khan@email.com,aisha.khan,,,,"University of California, Berkeley",Medicine,"Clinical rotations, group study",General practitioner,Tropical diseases,12 miles,Online,"University,Learning Habits,Career Trajectories",1,70,14,2,90,18,3,100,20,3,100,20,1,70,14,1,70,14,1,70,14,Kinesthetic,,500,,,,,,,,
Alex Kim,alex.kim@email.com,alex.kim,,,,Stanford University,Computer Science,"Prefers group discussions, uses flashcards",Work in AI research,,8 miles,Hybrid,"University,Degree,Learning Habits,Meet-up Mode",3,100,19,2,90,17,1,70,13,2,90,17,3,100,19,2,90,17,2,90,17,,,540,Alex Kim ↔ Mia Schneider,,,,,Alex Kim ↔ Mia Schneider,,
Alexei Ivanov,alexei.ivanov@email.com,alexei.ivanov,,,,"University of California, Los Angeles",Engineering,"Hands-on projects, group work",Mechanical engineer,Thermodynamics,9 miles,In Person,"Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Mode",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,"Alexei Ivanov ↔ Anna Müller,Alexei Ivanov ↔ Ava Williams,Alexei Ivanov ↔ Aya Nakamura,Alexei Ivanov ↔ Dariusz Kowalski,Alexei Ivanov ↔ Diego Torres,Alexei Ivanov ↔ Emily Brown,Alexei Ivanov ↔ Ethan Johnson,Alexei Ivanov ↔ Fatima Al-Farsi,Alexei Ivanov ↔ Hana Kimura,Alexei Ivanov ↔ Helena Costa,Alexei Ivanov ↔ Ivan Horvat,Alexei Ivanov ↔ Jacob Green,Alexei Ivanov ↔ Kevin Nguyen,Alexei Ivanov ↔ Leah Stein,Alexei Ivanov ↔ Liam O'Connor,Alexei Ivanov ↔ Lina Svensson,Alexei Ivanov ↔ Linh Tran,Alexei Ivanov ↔ Lucas Meyer,Alexei Ivanov ↔ Maria Rodriguez,Alexei Ivanov ↔ Mateo Silva,Alexei Ivanov ↔ Mateusz Zielinski,Alexei Ivanov ↔ Mei Chen,Alexei Ivanov ↔ Omar Farouk,Alexei Ivanov ↔ Pedro Alvarez,Alexei Ivanov ↔ Samantha Evans,Alexei Ivanov ↔ Samuel Mensah,Alexei Ivanov ↔ Santiago Lopez,Alexei Ivanov ↔ Sibel Yilmaz,Alexei Ivanov ↔ Sofia Garcia,Alexei Ivanov ↔ Sofia Petrova,Alexei Ivanov ↔ Tariq Aziz,Alexei Ivanov ↔ Tomasz Nowak,Alexei Ivanov ↔ Victoria Smith,Alexei Ivanov ↔ Wei Zhang,Alexei Ivanov ↔ Yuki Tanaka","Aaliyah Mohammed ↔ Alexei Ivanov,Ahmed El-Sayed ↔ Alexei Ivanov,Ahmed Hassan ↔ Alexei Ivanov",,,,"Alexei Ivanov ↔ Nadia Benali,Alexei Ivanov ↔ Dariusz Kowalski,Alexei Ivanov ↔ Hana Kimura,Alexei Ivanov ↔ Sofia Petrova,Aaliyah Mohammed ↔ Alexei Ivanov,Alexei Ivanov ↔ Samuel Mensah,Alexei Ivanov ↔ Mateo Silva,Ahmed El-Sayed ↔ Alexei Ivanov,Alexei Ivanov ↔ Diego Torres","Alexei Ivanov ↔ Ahmed Hassan ↔ Olivia Wilson,Alexei Ivanov ↔ Mateo Silva ↔ Olivia Wilson,Alexei Ivanov ↔ Diego Torres ↔ Nadia Benali",
Ali Rezaei,ali.rezaei@email.com,ali.rezaei,,,,University of Miami,Physics,"Problem sets, online lectures",Theoretical physicist,Particle physics,7 miles,Online,"Degree,Learning Habits,Meet-up Distance",3,100,19,2,90,17,1,70,13,1,70,13,3,100,19,2,90,17,2,90,17,Reading/Writing,,520,,,,,,,,
Amelia Clark,amelia.clark@email.com,amelia.clark,,,,Massachusetts Institute of Technology (MIT),Sociology,"Surveys, group interviews",Social researcher,,10 miles,In Person,"Degree,Career Trajectories,Meet-up Distance",1,70,16,3,100,22,0,0,0,2,90,20,3,100,22,2,90,20,2,90,20,,,450,,,,,,,,
